locator,scanner_source,scanner_type,scanner_id,last_seen,status,CVE,CVE-title,CVSS,CVSS-Text,CVSS-temporal,CVSS-vector-string,device-id,device-name,device-ip,device-mac,device-custom-name,device-tags,OS,OS-Version,CVE-description,CVE-solution,finding_id,finding_scanner_type,finding_created,finding_severity,risk_score,risk_score_best_achievable
192.168.234.30,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2019-12265,28/03/2025,open,CVE-2019-12265,VxWorks TCP/IP Stack (IPNET) Urgent/11 Vulnerabilities - IGMP Information Leak via IGMPv3 specific membership report,5.3,Medium,None,None,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b,EWONPLC | 1769-L24ER-QBFC1B/B LOGIX5324ER,192.168.234.30,['08:61:95:a9:06:29'],None,"Controller,Rockwell Automation",None,None,"Wind River VxWorks 6.5, 6.6, 6.7, 6.8, 6.9.3 and 6.9.4 has a Memory Leak in the IGMPv3 client component. There is an IPNET security vulnerability: IGMP Information leak via IGMPv3 specific membership report.

This vulnerability may allow a threat actor on the same LAN as the victim system to transmit packets to the network that may contain information from packets that were previously sent/received by the network stack.",Please refer to the associated manufacturer's advisory.,11cf6a6b-4263-46e6-938a-d6cc4d1bc35b_CVE-2019-12265_28/03/2025,CyberVision,28/03/2025,Medium,77,None
192.168.105.130,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2020-15782,28/03/2025,open,CVE-2020-15782,Improper Restriction of Operations within the Bounds of a Memory Buffer in Siemens SIMATIC S7-1200 and S7-1500 CPU Families,9.8,Critical,None,None,1dac9b30-4b4d-43e3-b04f-2c47428db570,PLC_3,192.168.105.130,['28:63:36:82:28:96'],None,"Controller,Read Var,Write Var",None,None,Affected devices are vulnerable to a memory protection bypass through a specific operation. A remote unauthenticated attacker with network access to port 102/tcp could potentially write arbitrarydata and code to protected memory areas or read sensitive data to launch further attacks.,"Firmware updates are available for multiple products, including SIMATIC Drive Controller family, SIMATIC S7-1200 CPU family and SIMATIC S7-1500 CPU family. 

Siemens has identified the following specific workarounds and mitigations and strongly recommends that customers apply them to reduce the risk:
•  Apply password protection for S7 communication
• Disallow client connections via the ENDIS_PW instruction of the S7-1200 or S7-1500 CPU (This blocks remote client connections, even when the client can provide the correct password)
• Use the display to configure additional access protection of the S7-1500 CPU (This blocks remote client connections, even when the client can provide the correct password)
• Apply “defense in depth” as outlined on pages 12ff of the operational guidelines for Industrial Security, especially:
    –Plant security: Physical prevention of access to critical components
    –Network security: Ensure that PLC systems are not connected to untrusted networks
    –System integrity: Configure, maintain and protect your device by applying applicable compensating controls and using built-in security capabilities.
• Update your entire solution to TIA Portal V17 and use TLS communication using individual certificates between PLC, HMIs and PG/PC",1dac9b30-4b4d-43e3-b04f-2c47428db570_CVE-2020-15782_28/03/2025,CyberVision,28/03/2025,Critical,61,None
192.168.105.130,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2014-2250,28/03/2025,open,CVE-2014-2250,Vulnerabilities in SIMATIC S7-1200 CPU 3,8.3,High,None,None,1dac9b30-4b4d-43e3-b04f-2c47428db570,PLC_3,192.168.105.130,['28:63:36:82:28:96'],None,"Controller,Read Var,Write Var",None,None,The latest product release of the SIMATIC S7-1200 CPU fixes several vulnerabilities. The most severe of these vulnerabilities could allow an attacker to take over an authenticated web session if the session token can be predicted. The attacker must have network access to the device to exploit this vulnerability. Further vulnerabilities resolved in this product release are discussed below.,Siemens provides the SIMATIC S7-1200 CPU product release V4.0 which fixes these vulnerabilities. As a general security measure Siemens strongly recommends to protect network access to S7-1200 CPUs with appropriate mechanisms. It is advised to follow recommended security practices and to configure the environment according to operational guidelines in order to run the devices in a protected IT environment.,1dac9b30-4b4d-43e3-b04f-2c47428db570_CVE-2014-2250_28/03/2025,CyberVision,28/03/2025,High,61,None
192.168.105.130,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2022-38465,28/03/2025,open,CVE-2022-38465,Weak Key Protection Vulnerability in Siemens SIMATIC S7-1200 and S7-1500 CPU Families,7.8,High,None,None,1dac9b30-4b4d-43e3-b04f-2c47428db570,PLC_3,192.168.105.130,['28:63:36:82:28:96'],None,"Controller,Read Var,Write Var",None,None,"SIMATIC S7-1200, S7-1500 CPUs and related products protect the built-in global private key in a way that cannot be considered sufficient any longer. The key is used for the legacy protection of confidential configuration data and the legacy PG/PC and HMI communication.

This could allow attackers to discover the private key of a CPU product family by an offline attack against a single CPU of the family. Attackers could then use this knowledge to extract confidential configuration data from projects that are protected by that key or to perform attacks against legacy PG/PC and HMI communication.","SIMATIC Drive Controller family: update to V2.9.2
SIMATIC ET 200SP Open Controller CPU 1515SP PC2 (incl. SIPLUS variants): update to V21.9
SIMATIC S7-1200 CPU family (incl. SIPLUS variants): update to V4.5.0
SIMATIC S7-1500 CPU family (incl. SIPLUS variants): update to V2.9.2",1dac9b30-4b4d-43e3-b04f-2c47428db570_CVE-2022-38465_28/03/2025,CyberVision,28/03/2025,High,61,None
192.168.105.130,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2019-10936,28/03/2025,open,CVE-2019-10936,Denial-of-Service Vulnerability in Profinet Devices,7.5,High,None,None,1dac9b30-4b4d-43e3-b04f-2c47428db570,PLC_3,192.168.105.130,['28:63:36:82:28:96'],None,"Controller,Read Var,Write Var",None,None,A vulnerability in affected devices could allow an attacker to perform a denial-of-service attack if a large amount of specially crafted UDP packets are sent to the device.,"Siemens has released updates for several affected products, and recommends that customers update to the new version.

Siemens has identified the following specific workarounds and mitigations that customers can apply to reduce the risk:

•  Restrict network access to affected devices.",1dac9b30-4b4d-43e3-b04f-2c47428db570_CVE-2019-10936_28/03/2025,CyberVision,28/03/2025,High,61,None
192.168.105.130,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2017-12741,28/03/2025,open,CVE-2017-12741,Multiple Siemens Products CVE-2017-12741 Denial of Service Vulnerability,7.5,High,None,None,1dac9b30-4b4d-43e3-b04f-2c47428db570,PLC_3,192.168.105.130,['28:63:36:82:28:96'],None,"Controller,Read Var,Write Var",None,None,Several industrial products are affected by a vulnerability that could allow remote attackers to conduct a Denial-of-Service (DoS) attack.,"Siemens has released updates for several affected products, and recommends that customers update to the new version. Siemens is preparing further updates and recommends specific countermeasures until patches are available.",1dac9b30-4b4d-43e3-b04f-2c47428db570_CVE-2017-12741_28/03/2025,CyberVision,28/03/2025,High,61,None
192.168.105.130,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2015-5698,28/03/2025,open,CVE-2015-5698,Web Vulnerability in S7-1200,7.5,High,None,None,1dac9b30-4b4d-43e3-b04f-2c47428db570,PLC_3,192.168.105.130,['28:63:36:82:28:96'],None,"Controller,Read Var,Write Var",None,None,The latest firmware update for SIMATIC S7-1200 CPUs fixes a vulnerability that could allowan attacker to perform a CSRF (Cross-Site Request Forgery) attack under certain conditions.,Siemens provides firmware update V4.1.3 for SIMATIC S7-1200 V4 CPUs which fixesthe vulnerability and recommends customers to update to the new fixed version.As a general security measure Siemens strongly recommends to protect network access tothe web interface of S7-1200 CPUs with appropriate mechanisms. It is advised to configure the environment according to our operational guidelines in order to run the devices in aprotected IT environment.,1dac9b30-4b4d-43e3-b04f-2c47428db570_CVE-2015-5698_28/03/2025,CyberVision,28/03/2025,High,61,None
192.168.105.130,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2021-37205,28/03/2025,open,CVE-2021-37205,Denial of Service Vulnerabilities in Siemens SIMATIC Devices,7.5,High,None,None,1dac9b30-4b4d-43e3-b04f-2c47428db570,PLC_3,192.168.105.130,['28:63:36:82:28:96'],None,"Controller,Read Var,Write Var",None,None,An unauthenticated attacker could cause a denial-of-service condition in a PLC when sending specially prepared packets over port 102/tcp. A restart of the affected device is needed to restore normal operations.,"Siemens has not identified any additional specific workarounds or mitigations. Please follow the ""General Security Recommendations"" in the linked advisory.",1dac9b30-4b4d-43e3-b04f-2c47428db570_CVE-2021-37205_28/03/2025,CyberVision,28/03/2025,High,61,None
192.168.105.130,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2021-37185,28/03/2025,open,CVE-2021-37185,Denial of Service Vulnerabilities in Siemens SIMATIC Devices,7.5,High,None,None,1dac9b30-4b4d-43e3-b04f-2c47428db570,PLC_3,192.168.105.130,['28:63:36:82:28:96'],None,"Controller,Read Var,Write Var",None,None,An unauthenticated attacker could cause a denial-of-service condition in a PLC when sending specially prepared packets over port 102/tcp. A restart of the affected device is needed to restore normal operations.,"Siemens has not identified any additional specific workarounds or mitigations. Please follow the ""General Security Recommendations"" in the linked advisory.",1dac9b30-4b4d-43e3-b04f-2c47428db570_CVE-2021-37185_28/03/2025,CyberVision,28/03/2025,High,61,None
192.168.105.130,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2021-40365,28/03/2025,open,CVE-2021-40365,Improper Input Validation Vulnerability in Siemens industrial products,7.5,High,None,None,1dac9b30-4b4d-43e3-b04f-2c47428db570,PLC_3,192.168.105.130,['28:63:36:82:28:96'],None,"Controller,Read Var,Write Var",None,None,"Affected devices don’t process correctly certain special crafted packets sent to port 102/tcp, which could allow an attacker to cause a denial-of-service in the device.",Please refer to the associated Siemens advisory for specific measures for your device,1dac9b30-4b4d-43e3-b04f-2c47428db570_CVE-2021-40365_28/03/2025,CyberVision,28/03/2025,High,61,None
192.168.105.130,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2018-13815,28/03/2025,open,CVE-2018-13815,Siemens SIMATIC S7 Resource Exhaustion Vulnerability,7.5,High,None,None,1dac9b30-4b4d-43e3-b04f-2c47428db570,PLC_3,192.168.105.130,['28:63:36:82:28:96'],None,"Controller,Read Var,Write Var",None,None,Successful exploitation of this vulnerability could result in a denial-of-service condition that could result in a loss of availability of the affected device.,"Siemens recommends users of SIMATIC S7-1500 update to Version 2.6, which can be downloaded at the following location: 
https://support.industry.siemens.com/cs/de/en/view/109478459

Siemens has identified the following specific workarounds and mitigations users can apply to reduce the risk: 
    (i) Protect network access to Port 102/TCP of affected devices
    (ii) Apply cell-protection concept
    (iii) Apply defense-in-depth",1dac9b30-4b4d-43e3-b04f-2c47428db570_CVE-2018-13815_28/03/2025,CyberVision,28/03/2025,High,61,None
192.168.105.130,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2020-28400,28/03/2025,open,CVE-2020-28400,Allocation of Resources Without Limits or Throttling in Siemens  PROFINET Devices,7.5,High,None,None,1dac9b30-4b4d-43e3-b04f-2c47428db570,PLC_3,192.168.105.130,['28:63:36:82:28:96'],None,"Controller,Read Var,Write Var",None,None,Successful exploitation of this vulnerability could allow an attacker to perform a denial-of-service attack if a large amount of PROFINET Discovery and Configuration Protocol (DCP) reset packets is sent to the affected devices.,Siemens has provided remediations for the a number of affected products. Please consult the associated advisory for more information.,1dac9b30-4b4d-43e3-b04f-2c47428db570_CVE-2020-28400_28/03/2025,CyberVision,28/03/2025,High,61,None
192.168.105.130,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2019-10943,28/03/2025,open,CVE-2019-10943,Vulnerabilities in SIMATIC-1200 and SIMATIC S7-1500 CPU families,7.5,High,None,None,1dac9b30-4b4d-43e3-b04f-2c47428db570,PLC_3,192.168.105.130,['28:63:36:82:28:96'],None,"Controller,Read Var,Write Var",None,None,"A vulnerability has been identified in SIMATIC ET 200SP Open Controller CPU 1515SP PC (All versions), SIMATIC ET 200SP Open Controller CPU 1515SP PC2 (All versions), SIMATIC S7-1200 CPU family (All versions >= V4.0), SIMATIC S7-1500 CPU family (All versions), SIMATIC S7-1500 Software Controller (All versions), SIMATIC S7-PLCSIM Advanced (All versions). An attacker with network access to port 102/tcp could potentially modify the user program on the PLC in a way that the running code is different from the source code which is stored on the device. An attacker must have network access to affected devices and must be able to perform changes to the user program. The vulnerability could impact the perceived integrity of the user program stored on the CPU. An engineer that tries to obtain the code of the user program running on the device, can receive different source code that is not actually running on the device. No public exploitation of the vulnerability was known at the time of advisory publication.","Siemens has identified the following specific workarounds and mitigations that customers can apply to reduce the risk:

•All affected devices contain a feature called “Access Protection” which prohibits unauthorized modifications of user code.  Siemens recommends using access protection to protect affected devices from unauthorized modifications",1dac9b30-4b4d-43e3-b04f-2c47428db570_CVE-2019-10943_28/03/2025,CyberVision,28/03/2025,High,61,None
192.168.105.130,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2019-13940,28/03/2025,open,CVE-2019-13940,Uncontrolled Resource Consumption Vulnerability in Siemens SIMATIC S7,7.5,High,None,None,1dac9b30-4b4d-43e3-b04f-2c47428db570,PLC_3,192.168.105.130,['28:63:36:82:28:96'],None,"Controller,Read Var,Write Var",None,None,Successful exploitation of this vulnerability could allow remote attackers to perform a denial-of-service attack by sending a specially crafted HTTP request to the web server of an affected device.,"Siemens has identified the following specific workarounds and mitigations users can apply to reduce the risk:
- Restrict access to the device to the internal or VPN network. Further, if possible, restrict access to the web server (80/TCP, 443/TCP) to trusted IP addresses.
- If possible, disable the integrated web server. The web server is disabled in the default settings and its use is optional.
- For SIMATIC S7-1200 CPU family (including SIPLUS variants) Siemens recommends affected users update to v4.1 or any later version.",1dac9b30-4b4d-43e3-b04f-2c47428db570_CVE-2019-13940_28/03/2025,CyberVision,28/03/2025,High,61,None
192.168.105.130,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2021-37204,28/03/2025,open,CVE-2021-37204,Denial of Service Vulnerabilities in Siemens SIMATIC Devices,7.5,High,None,None,1dac9b30-4b4d-43e3-b04f-2c47428db570,PLC_3,192.168.105.130,['28:63:36:82:28:96'],None,"Controller,Read Var,Write Var",None,None,An unauthenticated attacker could cause a denial-of-service condition in a PLC when sending specially prepared packet over port 102/tcp. A restart of the affected device is needed to restore normal operations.,"Siemens has not identified any additional specific workarounds or mitigations. Please follow the ""General Security Recommendations"" in the linked advisory.",1dac9b30-4b4d-43e3-b04f-2c47428db570_CVE-2021-37204_28/03/2025,CyberVision,28/03/2025,High,61,None
192.168.105.130,Cisco Cyber Vision,CyberVision,CyberVision-CVE-2021-3712,28/03/2025,open,CVE-2021-3712,OpenSSL - Read buffer overruns processing ASN.1 strings Vulnerability,7.4,High,None,None,1dac9b30-4b4d-43e3-b04f-2c47428db570,PLC_3,192.168.105.130,['28:63:36:82:28:96'],None,"Controller,Read Var,Write Var",None,None,"ASN.1 strings are represented internally within OpenSSL as an ASN1_STRING structure which contains a buffer holding the string data and a field holding the buffer length. This contrasts with normal C strings which are repesented as a buffer for the string data which is terminated with a NUL (0) byte. Although not a strict requirement, ASN.1 strings that are parsed using OpenSSL's own ""d2i"" functions (and other similar parsing functions) as well as any string whose value has been set with the ASN1_STRING_set() function will additionally NUL terminate the byte array in the ASN1_STRING structure. However, it is possible for applications to directly construct valid ASN1_STRING structures which do not NUL terminate the byte array by directly setting the ""data"" and ""length"" fields in the ASN1_STRING array. This can also happen by using the ASN1_STRING_set0() function. Numerous OpenSSL functions that print ASN.1 data have been found to assume that the ASN1_STRING byte array will be NUL terminated, even though this is not guaranteed for strings that have been directly constructed. Where an application requests an ASN.1 structure to be printed, and where that ASN.1 structure contains ASN1_STRINGs that have been directly constructed by the application without NUL terminating the ""data"" field, then a read buffer overrun can occur. The same thing can also occur during name constraints processing of certificates (for example if a certificate has been directly constructed by the application instead of loading it via the OpenSSL parsing functions, and the certificate contains non NUL terminated ASN1_STRING structures). It can also occur in the X509_get1_email(), X509_REQ_get1_email() and X509_get1_ocsp() functions. If a malicious actor can cause an application to directly construct an ASN1_STRING and then process it through one of the affected OpenSSL functions then this issue could be hit. This might result in a crash (causing a Denial of Service attack). It could also result in the disclosure of private memory contents (such as private keys, or sensitive plaintext). Fixed in OpenSSL 1.1.1l (Affected 1.1.1-1.1.1k). Fixed in OpenSSL 1.0.2za (Affected 1.0.2-1.0.2y).","Siemens has released updates for several affected products and recommends to update to the latest versions. Siemens is preparing further updates and recommends countermeasures for products where updates are not, or not yet available.",1dac9b30-4b4d-43e3-b04f-2c47428db570_CVE-2021-3712_28/03/2025,CyberVision,28/03/2025,High,61,None
